game_id,season,week,gameday,recorded,source,p_logistic,p_logistic_blitz,p_vegas
2026_08_LAC_LA,2026,8,2026-11-01,2026-09-21 18:18,live,0.6493594584083203,0.632290903705848,
2026_08_LV_NYJ,2026,8,2026-11-01,2026-09-21 18:18,live,0.5273505701060809,0.5018426134326079,
2026_08_MIN_DET,2026,8,2026-11-01,2026-09-21 18:18,live,0.572621198465543,0.5116848002912365,
2026_08_NE_MIA,2026,8,2026-11-01,2026-09-21 18:18,live,0.3360399704342076,0.3522208285540886,
2026_08_PHI_WAS,2026,8,2026-11-01,2026-09-21 18:18,live,0.47256595556266967,0.42074520966976814,
2026_08_TEN_CIN,2026,8,2026-11-01,2026-09-21 18:18,live,0.8057786821147319,0.7800727558845856,
2026_08_CHI_SEA,2026,8,2026-11-02,2026-09-21 18:18,live,0.6895483942079814,0.7132549947429812,
2026_09_JAX_BAL,2026,9,2026-11-05,2026-09-21 18:18,live,0.597356452892758,0.6299751180765382,
2026_09_ARI_SEA,2026,9,2026-11-08,2026-09-21 18:18,live,0.782101580396002,0.7974932191791024,
2026_09_CIN_ATL,2026,9,2026-11-08,2026-09-21 18:18,live,0.3909629573583616,0.38788042778763593,
2026_09_CLE_NO,2026,9,2026-11-08,2026-09-21 18:18,live,0.6630416694040043,0.6308781341240209,
2026_09_DAL_IND,2026,9,2026-11-08,2026-09-21 18:18,live,0.5189807607693889,0.5593682108165692,
2026_09_DEN_CAR,2026,9,2026-11-08,2026-09-21 18:18,live,0.47058514303283117,0.49667062542548096,
2026_09_DET_MIA,2026,9,2026-11-08,2026-09-21 18:18,live,0.3978297443545998,0.45797645727347425,
2026_09_GB_NE,2026,9,2026-11-08,2026-09-21 18:18,live,0.6172214149207986,0.6275953352310409,
2026_09_HOU_LAC,2026,9,2026-11-08,2026-09-21 18:18,live,0.49859356825087203,0.4777555859678846,
2026_09_LA_WAS,2026,9,2026-11-08,2026-09-21 18:18,live,0.44639177907763505,0.45743288034098895,
2026_09_LV_SF,2026,9,2026-11-08,2026-09-21 18:18,live,0.7896634987856633,0.7770992677819579,
2026_09_NYG_PHI,2026,9,2026-11-08,2026-09-21 18:18,live,0.6239084137977815,0.6569167662205923,
2026_09_NYJ_KC,2026,9,2026-11-08,2026-09-21 18:18,live,0.7693692220861521,0.7924557483740731,
2026_09_TB_CHI,2026,9,2026-11-08,2026-09-21 18:18,live,0.6033833080075172,0.5748424878172124,
2026_09_BUF_MIN,2026,9,2026-11-09,2026-09-21 18:18,live,0.45827327318072747,0.448942286974356,
2026_10_WAS_NYG,2026,10,2026-11-12,2026-09-21 18:18,live,0.5884278133834058,0.6277500804672382,
2026_10_BUF_NYJ,2026,10,2026-11-15,2026-09-21 18:18,live,0.31577298790271624,0.28550684283631406,
2026_10_CAR_NO,2026,10,2026-11-15,2026-09-21 18:18,live,0.5656539185492058,0.5355022047557619,
2026_10_HOU_CLE,2026,10,2026-11-15,2026-09-21 18:18,live,0.45960449119909913,0.47304169572218246,
2026_10_JAX_TEN,2026,10,2026-11-15,2026-09-21 18:18,live,0.30962081074367737,0.3453316123211141,
2026_10_KC_ATL,2026,10,2026-11-15,2026-09-21 18:18,live,0.41541034115640596,0.3836198923433584,
2026_10_LA_ARI,2026,10,2026-11-15,2026-09-21 18:18,live,0.3668823064929903,0.38881447786217044,
2026_10_MIA_IND,2026,10,2026-11-15,2026-09-21 18:18,live,0.6366600547808658,0.6426883111908405,
2026_10_MIN_GB,2026,10,2026-11-15,2026-09-21 18:18,live,0.571953728117697,0.5525172084242984,
2026_10_NE_DET,2026,10,2026-11-15,2026-09-21 18:18,live,0.4745948262714431,0.4341200480294766,
2026_10_PIT_CIN,2026,10,2026-11-15,2026-09-21 18:18,live,0.5820128821327389,0.5862266992095531,
2026_10_SEA_LV,2026,10,2026-11-15,2026-09-21 18:18,live,0.3810567556876553,0.3689627676378488,
2026_10_SF_DAL,2026,10,2026-11-15,2026-09-21 18:18,live,0.43472193093550054,0.4352683973469439,
2026_10_LAC_BAL,2026,10,2026-11-16,2026-09-21 18:18,live,0.6948686648493759,0.7208322703991097,
2026_11_IND_HOU,2026,11,2026-11-19,2026-09-21 18:18,live,0.6329721744631656,0.6242559489565078,
2026_11_ARI_KC,2026,11,2026-11-22,2026-09-21 18:18,live,0.774578799197263,0.7839306201651911,
2026_11_BAL_CAR,2026,11,2026-11-22,2026-09-21 18:18,live,0.43701700282302136,0.4392583643585964,
2026_11_JAX_NYG,2026,11,2026-11-22,2026-09-21 18:18,live,0.4728022890586188,0.5064062921157803,
2026_11_LV_DEN,2026,11,2026-11-22,2026-09-21 18:18,live,0.7075040412573934,0.7067947159434406,
2026_11_MIA_BUF,2026,11,2026-11-22,2026-09-21 18:18,live,0.7883099457772877,0.7863693299113762,
2026_11_MIN_SF,2026,11,2026-11-22,2026-09-21 18:18,live,0.6179505178720098,0.5778041576048675,
2026_11_NO_CHI,2026,11,2026-11-22,2026-09-21 18:18,live,0.6654917943392635,0.6608200811179133,
2026_11_NYJ_LAC,2026,11,2026-11-22,2026-09-21 18:18,live,0.6371626124510508,0.6500077558015779,
2026_11_PIT_PHI,2026,11,2026-11-22,2026-09-21 18:18,live,0.6713403008071656,0.7194947785383561,
2026_11_TB_DET,2026,11,2026-11-22,2026-09-21 18:18,live,0.6109797729107557,0.5666587672952882,
2026_11_TEN_DAL,2026,11,2026-11-22,2026-09-21 18:18,live,0.7673560462137312,0.7316805857779225,
2026_11_CIN_WAS,2026,11,2026-11-23,2026-09-21 18:18,live,0.49600161322872016,0.49333404209082166,
2026_12_GB_LA,2026,12,2026-11-25,2026-09-21 18:18,live,0.6231405119913973,0.5979191247246209,
2026_12_CHI_DET,2026,12,2026-11-26,2026-09-21 18:18,live,0.5969251279917016,0.5939231990530432,
2026_12_KC_BUF,2026,12,2026-11-26,2026-09-21 18:18,live,0.6105761401281954,0.6264908029124654,
2026_12_PHI_DAL,2026,12,2026-11-26,2026-09-21 18:18,live,0.4892436436334196,0.43917883837695965,
2026_12_DEN_PIT,2026,12,2026-11-27,2026-09-21 18:18,live,0.5268039876517167,0.49189049331611556,
2026_12_ATL_MIN,2026,12,2026-11-29,2026-09-21 18:18,live,0.6418285753653244,0.6922879044247151,
2026_12_BAL_HOU,2026,12,2026-11-29,2026-09-21 18:18,live,0.517621301563287,0.5123555716176356,
2026_12_LV_CLE,2026,12,2026-11-29,2026-09-21 18:18,live,0.5457992719831147,0.5704356879295764,
2026_12_NE_LAC,2026,12,2026-11-29,2026-09-21 18:18,live,0.4080216044267307,0.3831936714505891,
2026_12_NO_CIN,2026,12,2026-11-29,2026-09-21 18:18,live,0.6641342003098255,0.6573827416383305,
2026_12_NYG_IND,2026,12,2026-11-29,2026-09-21 18:18,live,0.5849820300442858,0.6076197558116915,
2026_12_NYJ_MIA,2026,12,2026-11-29,2026-09-21 18:18,live,0.5544162840606962,0.6041402492417354,
2026_12_SEA_SF,2026,12,2026-11-29,2026-09-21 18:18,live,0.5308106214459579,0.5032003054512306,
2026_12_TEN_JAX,2026,12,2026-11-29,2026-09-21 18:18,live,0.7988786240758998,0.7714026398328903,
2026_12_WAS_ARI,2026,12,2026-11-29,2026-09-21 18:18,live,0.5116725996459334,0.5256904773577415,
2026_12_CAR_TB,2026,12,2026-11-30,2026-09-21 18:18,live,0.6213397643317531,0.5963897070617008,
2026_13_KC_LA,2026,13,2026-12-03,2026-09-21 18:18,live,0.5442785861437527,0.5002740804355196,
2026_13_BUF_NE,2026,13,2026-12-06,2026-09-21 18:18,live,0.49830803620758823,0.48782553802537615,
2026_13_CAR_MIN,2026,13,2026-12-06,2026-09-21 18:18,live,0.6667279817840156,0.6508683415621522,
2026_13_CIN_CLE,2026,13,2026-12-06,2026-09-21 18:18,live,0.39778642703805006,0.44181677446192874,
2026_13_DET_ATL,2026,13,2026-12-06,2026-09-21 18:18,live,0.457980695348088,0.4530896898498826,
2026_13_GB_NO,2026,13,2026-12-06,2026-09-21 18:18,live,0.45992279266732444,0.45423198328260345,
2026_13_HOU_PIT,2026,13,2026-12-06,2026-09-21 18:18,live,0.5627441004687276,0.5302896184212671,
2026_13_JAX_CHI,2026,13,2026-12-06,2026-09-21 18:18,live,0.5423952523131244,0.5465093513097842,
2026_13_LAC_TB,2026,13,2026-12-06,2026-09-21 18:18,live,0.577217874896646,0.6053177244941339,
2026_13_MIA_DEN,2026,13,2026-12-06,2026-09-21 18:18,live,0.7407719111353772,0.7193500412876662,
2026_13_PHI_ARI,2026,13,2026-12-06,2026-09-21 18:18,live,0.3511122610459568,0.31883625372746655,
2026_13_SF_NYG,2026,13,2026-12-06,2026-09-21 18:18,live,0.39291411109190955,0.42256755023843234,
2026_13_WAS_TEN,2026,13,2026-12-06,2026-09-21 18:18,live,0.4171919335639353,0.4655246182715456,
2026_13_DAL_SEA,2026,13,2026-12-07,2026-09-21 18:18,live,0.6959418607610588,0.7270189161199392,
2026_14_MIN_NE,2026,14,2026-12-10,2026-09-21 18:18,live,0.6183052857928877,0.6123721090292481,
2026_14_ATL_CLE,2026,14,2026-12-13,2026-09-21 18:18,live,0.5124297248785349,0.56862148997411,
2026_14_BUF_GB,2026,14,2026-12-13,2026-09-21 18:18,live,0.4570114196092388,0.44105604267202503,
2026_14_CHI_MIA,2026,14,2026-12-13,2026-09-21 18:18,live,0.4657278849776033,0.506897294010561,
2026_14_DEN_NYJ,2026,14,2026-12-13,2026-09-21 18:18,live,0.456110593217649,0.4244013084753516,
2026_14_HOU_WAS,2026,14,2026-12-13,2026-09-21 18:18,live,0.5073895091002378,0.477943108425708,
2026_14_IND_PHI,2026,14,2026-12-13,2026-09-21 18:18,live,0.6684638097900698,0.6745197964164097,
2026_14_KC_CIN,2026,14,2026-12-13,2026-09-21 18:18,live,0.4922249188759903,0.46751815026389715,
2026_14_LAC_LV,2026,14,2026-12-13,2026-09-21 18:18,live,0.565675462504604,0.5805064462799728,
2026_14_LA_SF,2026,14,2026-12-13,2026-09-21 18:18,live,0.6103011639777153,0.6163707888455008,
2026_14_NO_CAR,2026,14,2026-12-13,2026-09-21 18:18,live,0.55793066671069,0.5876491864196245,
2026_14_NYG_SEA,2026,14,2026-12-13,2026-09-21 18:18,live,0.7315663398858001,0.743362739169569,
2026_14_TB_BAL,2026,14,2026-12-13,2026-09-21 18:18,live,0.7053560878604247,0.7209964407520632,
2026_14_TEN_DET,2026,14,2026-12-13,2026-09-21 18:18,live,0.7958202945659596,0.7575692827645624,
2026_14_PIT_JAX,2026,14,2026-12-14,2026-09-21 18:18,live,0.6293081958972652,0.6314009118569656,
2026_15_SF_LAC,2026,15,2026-12-17,2026-09-21 18:18,live,0.4207731725338873,0.4281994621991954,
2026_15_CHI_BUF,2026,15,2026-12-19,2026-09-21 18:18,live,0.7028652163020875,0.7258519435256258,
2026_15_SEA_PHI,2026,15,2026-12-19,2026-09-21 18:18,live,0.5071837576083225,0.5214428741970608,
2026_15_ATL_WAS,2026,15,2026-12-20,2026-09-21 18:18,live,0.5622827060971706,0.5627176310716444,
2026_15_BAL_PIT,2026,15,2026-12-20,2026-09-21 18:18,live,0.48849179409570154,0.4422879218886576,
2026_15_CIN_CAR,2026,15,2026-12-20,2026-09-21 18:18,live,0.4525833560849632,0.4937349059067895,
2026_15_CLE_NYG,2026,15,2026-12-20,2026-09-21 18:18,live,0.6403114111698174,0.6096356002798642,
2026_15_DAL_LA,2026,15,2026-12-20,2026-09-21 18:18,live,0.6091328713236293,0.6003248794565559,
2026_15_DEN_LV,2026,15,2026-12-20,2026-09-21 18:18,live,0.4190301634519638,0.4196714504955798,
2026_15_DET_MIN,2026,15,2026-12-20,2026-09-21 18:18,live,0.563620199069413,0.6227207303427589,
2026_15_IND_TEN,2026,15,2026-12-20,2026-09-21 18:18,live,0.3920195697507154,0.3933132725089447,
2026_15_JAX_HOU,2026,15,2026-12-20,2026-09-21 18:18,live,0.5451853677341348,0.569073360530813,
2026_15_MIA_GB,2026,15,2026-12-20,2026-09-21 18:18,live,0.7133342597467607,0.6929000015800548,
2026_15_NO_TB,2026,15,2026-12-20,2026-09-21 18:18,live,0.5956899686448188,0.6141793858770666,
2026_15_NYJ_ARI,2026,15,2026-12-20,2026-09-21 18:18,live,0.5909715313039732,0.6076550147768611,
2026_15_NE_KC,2026,15,2026-12-21,2026-09-21 18:18,live,0.5925813478646624,0.585159897147848,
2026_16_HOU_PHI,2026,16,2026-12-24,2026-09-21 18:18,live,0.6246779649408882,0.6398162405208804,
2026_16_BUF_DEN,2026,16,2026-12-25,2026-09-21 18:18,live,0.5077253272299861,0.4904304021329899,
2026_16_GB_CHI,2026,16,2026-12-25,2026-09-21 18:18,live,0.5395034538786957,0.5283261110079335,
2026_16_LA_SEA,2026,16,2026-12-25,2026-09-21 18:18,live,0.6237297056536457,0.665646489353583,
2026_16_ARI_NO,2026,16,2026-12-27,2026-09-21 18:18,live,0.6457970197701264,0.6447801045114011,
2026_16_CAR_PIT,2026,16,2026-12-27,2026-09-21 18:18,live,0.6469769539036654,0.5926444677150849,
2026_16_CIN_IND,2026,16,2026-12-27,2026-09-21 18:18,live,0.4913979909087542,0.5248131232489788,
2026_16_CLE_BAL,2026,16,2026-12-27,2026-09-21 18:18,live,0.7215724303820267,0.7143673459292961,
2026_16_JAX_DAL,2026,16,2026-12-27,2026-09-21 18:18,live,0.5308110209054702,0.5289437978578913,
2026_16_LAC_MIA,2026,16,2026-12-27,2026-09-21 18:18,live,0.4846306503776392,0.5269335508377433,
2026_16_NE_NYJ,2026,16,2026-12-27,2026-09-21 18:18,live,0.3714493813916205,0.3373802338853701,
2026_16_SF_KC,2026,16,2026-12-27,2026-09-21 18:18,live,0.4986436999544119,0.5235166557043152,
